Antenna,Time (sec),X,Y,Z
DSS 24,4658.3479218,-848.5576672782264,-4915.154263923434,-2012.5678506500303
DSS 24,4718.3479218,-828.8273599557889,-4915.0108881744,-2021.1219861372228
DSS 24,4778.3479218,-809.0978170229893,-4914.773424626115,-2029.6757902209347
DSS 24,4838.3479218,-789.3694161614466,-4914.441877824333,-2038.2290991561367
DSS 24,4898.3479218,-769.642535030919,-4914.016254115836,-2046.781749207278
DSS 24,4958.3479218,-749.9175512620717,-4913.496561648317,-2055.333576651421
DSS 24,5018.3479218,-730.1948424492488,-4912.882810370222,-2063.8844177813753
DSS 24,5078.3479218,-710.4747861432451,-4912.17501203056,-2072.434108908831
DSS 24,5138.3479218,-690.7577598440781,-4911.373180178677,-2080.982486367494
DSS 24,5198.3479218,-671.0441409937642,-4910.477330164,-2089.5293865162157
DSS 24,5258.3479218,-651.3343069690876,-4909.487479135739,-2098.074645742129
DSS 24,5318.3479218,-631.6286350743829,-4908.403646042561,-2106.6181004637783
DSS 24,5378.3479218,-611.927502534308,-4907.225851632227,-2115.1595871342515
DSS 24,5438.3479218,-592.2312864866243,-4905.954118451195,-2123.698942244311
DSS 24,5498.3479218,-572.5403639749762,-4904.588470844187,-2132.2360023255246
DSS 24,5558.3479218,-552.8551119416765,-4903.128934953725,-2140.7706039533914
DSS 24,5618.3479218,-533.1759072204849,-4901.575538719628,-2149.3025837504742
DSS 24,5678.3479218,-513.5031265294014,-4899.928311878479,-2157.831778389525
DSS 24,5738.3479218,-493.8371464634482,-4898.187285963059,-2166.358024596612
DSS 24,5798.3479218,-474.17834348746544,-4896.3524943017355,-2174.881159154245
DSS 24,5858.3479218,-454.527093928902,-4894.42397201783,-2183.4010189044993
DSS 24,5918.3479218,-434.88377397061083,-4892.401756028947,-2191.9174407521414
DSS 24,5978.3479218,-415.2487596436507,-4890.285885046259,-2200.430261667748
DSS 24,6006.493955999999,-406.0409317715877,-4889.261068735212,-2204.4223437916185
DSS 24,6066.493955999999,-386.41880091658084,-4887.007683117253,-2212.9295790382926
DSS 24,6126.493955999999,-366.8059034553779,-4884.660745763948,-2221.432811118654
DSS 24,6186.493955999999,-347.2026148366607,-4882.220301602601,-2229.9318772557717
DSS 24,6246.493955999999,-327.60931032516885,-4879.686397350506,-2238.426614752462
DSS 24,6306.493955999999,-308.0263649945181,-4877.059081514061,-2246.916860994403
DSS 24,6366.493955999999,-288.45415372001787,-4874.338404387839,-2255.4024534532514
DSS 24,6426.493955999999,-268.8930511714965,-4871.524418053619,-2263.883229689749
DSS 24,6486.493955999999,-249.34343180612848,-4868.617176379397,-2272.359027356835
DSS 24,6546.493955999999,-229.80566986126598,-4865.616735018351,-2280.829684202753
DSS 24,6606.493955999999,-210.2801393472763,-4862.523151407774,-2289.295038074157
DSS 24,6666.493955999999,-190.76721404037914,-4859.336484767977,-2297.754926919216
DSS 24,6726.493955999999,-171.26726747549526,-4856.056796101155,-2306.2091887907145
