Time (sec),Link Budget (kbps),Line Of Sight (1/0),Line Of Sight (deg),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
0.0,0.0,0,-72.21272478468283,6132.732565999999,5437.728124,3689.829568000001,3689.773564,4222.72217,3028.891599,2807.3345280842696
494.1888326999999,0.0,0,-51.06495039948212,5950.505743210296,5584.040250212012,3768.8345680777793,2319.817224,4865.712767,3698.167005,3701.741131026656
554.1888326999999,0.0,0,-47.49466139530008,5928.055410163097,5601.31423854407,3778.567979092617,1865.808701,4981.749611,3862.256016,4110.074493404182
614.1888329999999,0.0,0,-44.93680937430184,5905.535950331192,5618.481001292899,3788.3313602377975,1402.384261,5072.667625,4006.812686,4541.367797104021
674.1888329999999,0.0,0,-43.15764768778106,5882.947795028631,5635.540209664381,3798.124524515788,932.0104707,5138.4804,4131.480818,4986.9805756809865
734.1888329999999,0.0,0,-41.97637095560973,5860.291376546876,5652.491537181074,3807.947284505293,457.1066771,5179.368385,4236.050692,5440.72816275314
794.1888329999999,0.0,0,-41.25654909357664,5837.567128596576,5669.334659344591,3817.7994521697246,-19.97676063,5195.6658,4320.451362,5898.121865898028
854.1888329999999,0.0,0,-40.895819702203205,5814.7754861868325,5686.0692537279165,3827.6808389095486,-496.9769412,5187.846254,4384.741366,6355.844656135308
914.188833,0.0,0,-40.81710202357568,5791.91688561688,5702.694999981575,3837.591255565889,-971.7335203,5156.50757,4429.098291,6811.399863104317
974.188833,0.0,0,-40.96188242556562,5768.991764467724,5719.211579839767,3847.5305124241527,-1442.200491,5102.356322,4453.807591,7262.876568581399
1034.188833,0.0,0,-41.28529652449767,5746.000561593777,5735.6186771264565,3857.498419217659,-1906.454806,5026.192483,4459.251039,7708.791402894651
1094.188833,0.0,0,-41.75258092296733,5722.943717114442,5751.91597776143,3867.494785131284,-2362.702095,4928.894567,4445.895151,8147.9800824972945
1154.188833,0.0,0,-42.33651832728193,5699.821672405704,5768.103169766304,3877.519418805111,-2809.27978,4811.405518,4414.27986,8579.521530683382
1214.188833,0.0,0,-43.01558925024589,5676.634870091668,5784.179943270499,3887.572128338097,-3244.657942,4674.719569,4365.00765,9002.683624258905
1274.188833,0.0,0,-43.77262399882017,5653.383754036091,5800.145990517172,3897.652721291744,-3667.438274,4519.870184,4298.733329,9416.883511701504
1334.188833,0.0,0,-44.59380978088927,5630.068769333886,5816.001005869104,3907.761004693781,-4076.35148,4347.919174,4216.154538,9821.657950322244
1394.188833,0.0,0,-45.467951646607055,5606.690362302599,5831.74468581456,3917.896785041863,-4470.253434,4159.946995,4118.003068,10216.64065715016
1454.188833,0.0,0,-46.385916399332515,5583.248980473867,5847.376728973084,3928.059868307269,-4848.120379,3957.044221,4005.037018,10601.544660380621
1514.188833,0.0,0,-47.34020975284832,5559.74507258485,5862.896836101287,3938.250059938623,-5209.043443,3740.304141,3878.033793,10976.148315392495
1574.188833,0.0,0,-48.324651447817374,5536.179088569641,5878.304710098558,3948.467164865614,-5552.222675,3510.816431,3737.783925,11340.284028610731
1634.188833,0.0,0,-49.33412323992646,5512.551479550654,5893.600056012761,3958.710987502729,-5876.960802,3269.661807,3585.085678,11693.829048610483
1694.188833,0.0,0,-50.36437152510939,5488.862697829985,5908.782581045884,3968.981331753003,-6182.656865,3017.907591,3420.740395,12036.697854408725
1754.188833,0.0,0,-51.41185145519668,5465.11319688076,5923.851994559632,3979.2780010117663,-6468.799851,2756.604091,3245.548528,12368.835792286502
1814.188833,0.0,0,-52.473602761677824,5441.303431338445,5938.808008081003,3989.600798170412,-6734.962443,2486.781712,3060.3063,12690.213727740897
1874.188833,0.0,0,-53.54715006989754,5417.433856992151,5953.650335307803,3999.949525620167,-6980.794954,2209.448722,2865.802933,13000.823507161556
