Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
85.63913203,DSS24,0.0,3959.746345,-4655.729972,-4448.425512
86.63913203,DSS24,0.0,4287.363317,-4410.502549,-4292.077183
87.63913203,DSS24,0.0,4600.40936,-4150.293355,-4121.113606
88.63913203,DSS24,0.0,4897.443603,-3875.646439,-3935.77799
89.63913203,DSS24,0.0,5177.017819,-3587.189611,-3736.382462
90.63913203,DSS24,0.0,5437.684504,-3285.638774,-3523.31287
91.63913203,DSS24,0.0,5678.006233,-2971.801836,-3297.033429
92.63913203,DSS24,0.0,5896.566344,-2646.582059,-3058.09108
93.63913203,DSS24,0.0,6091.980981,-2310.980638,-2807.119416
94.63913203,DSS24,0.0,6262.912469,-1966.09832,-2544.841983
95.63913203,DSS24,0.0,6408.083954,-1613.135849,-2272.074799
96.63913203,DSS24,0.0,6526.295185,-1253.39301,-1989.727857
97.63913203,DSS24,0.0,6616.43925,-888.2660616,-1698.805436
98.63913203,DSS24,0.0,6677.520019,-519.2433684,-1400.40499
99.63913203,DSS24,0.0,6708.669958,-147.8990401,-1095.714446
100.1082326,DSS24,0.0,6712.758423,26.63310567,-950.9746977
101.1082326,DSS24,0.0,6696.992724,400.4799717,-637.3789476
102.1082326,DSS24,0.0,6646.420776,776.745842,-316.7141186
103.1082326,DSS24,0.0,6560.698231,1153.744249,9.661088304
104.1082326,DSS24,10000.0,6439.688501,1529.736707,340.314087
105.1082326,DSS24,10000.0,6283.499912,1902.952138,673.7492394
106.1082326,DSS24,10000.0,6092.522517,2271.614615,1008.425723
107.1082326,DSS24,10000.0,5867.46144,2633.979879,1342.783248
108.1082326,WPSA,2675.3759173271,5609.362934,2988.380152,1675.275794
109.1082326,WPSA,2675.3759173271,5319.629075,3333.275631,2004.412591
110.1082326,WPSA,2675.3759173271,5000.017252,3667.309729,2328.804432
111.1082326,WPSA,2675.3759173271,4652.621729,3989.363871,2647.212205
112.1082326,WPSA,2675.3759173271,4279.83633,4298.606782,2958.593554
113.1082326,DSS54,2675.3759173271,3884.299755,4594.53303,3262.143046
114.1082326,DSS54,2675.3759173271,3468.827676,4876.986242,3557.321435
115.1082326,DSS54,2675.3759173271,3036.337994,5146.164063,3843.870632
116.1082326,DSS54,2675.3759173271,2589.776888,5402.604175,4121.8127
117.1082326,DSS54,2675.3759173271,2132.05316,5647.153063,4391.433208
118.094466,DSS54,2675.3759173271,1672.447436,5877.770421,4649.696726
119.094466,DSS54,2675.3759173271,1200.86585,6097.559614,4900.645816
120.094466,DSS54,2675.3759173271,725.7896108,6299.720009,5137.39988
121.094466,DSS54,2675.3759173271,248.7789951,6485.267464,5360.582199
122.094466,DSS54,2675.3759173271,-228.8477907,6655.225876,5570.85756
123.094466,DSS54,2675.3759173271,-705.9892831,6810.602567,5768.908036
124.094466,DSS54,2675.3759173271,-1181.734418,6952.371088,5955.414842
125.094466,DSS54,2675.3759173271,-1655.336943,7081.459971,6131.045275
126.094466,DSS54,2675.3759173271,-2126.191647,7198.746041,6296.44371
127.094466,DSS54,2675.3759173271,-2593.812933,7305.051127,6452.22579
128.094466,DSS54,2675.3759173271,-3057.815918,7401.141205,6598.975
129.094466,DSS54,2675.3759173271,-3517.900033,7487.727244,6737.241024
130.094466,DSS54,2675.3759173271,-3973.834956,7565.467172,6867.539369
131.094466,DSS54,2675.3759173271,-4425.448652,7634.968539,6990.351878
132.094466,DSS54,2675.3759173271,-4872.61727,7696.791586,7106.127839
133.094466,DSS54,2675.3759173271,-5315.256657,7751.452479,7215.285474
134.094466,DSS54,2675.3759173271,-5753.315257,7799.426581,7318.213646
135.094466,DSS54,2675.3759173271,-6186.768177,7841.151646,7415.273681
136.094466,DSS54,2675.3759173271,-6615.612252,7877.030882,7506.801208
137.094466,DSS54,2675.3759173271,-7039.861933,7907.435834,7593.107983
138.094466,DSS54,2675.3759173271,-7459.54588,7932.709079,7674.483644
139.094466,DSS54,2675.3759173271,-7874.704133,7953.166718,7751.197386
140.094466,DSS54,2675.3759173271,-8285.385762,7969.100667,7823.499537
141.094466,DSS54,2675.3759173271,-8691.646928,7980.78076,7891.623028
142.094466,DSS54,2675.3759173271,-9093.549275,7988.45666,7955.784767
143.094466,DSS54,2675.3759173271,-9491.158605,7992.359609,8016.186895
144.094466,DSS54,2675.3759173271,-9884.543776,7992.704013,8073.017962
145.094466,DSS54,2675.3759173271,-10273.7758,7989.68888,8126.45399
146.094466,DSS54,2675.3759173271,-10658.92711,7983.499129,8176.659459
147.094466,DSS54,2675.3759173271,-11040.07094,7974.306774,8223.788213
148.094466,DSS54,2675.3759173271,-11417.28082,7962.272004,8267.984275
149.094466,DSS54,2675.3759173271,-11790.63019,7947.54415,8309.382614
150.094466,DSS54,2675.3759173271,-12160.19205,7930.262579,8348.109824
151.094466,DSS54,2675.3759173271,-12526.03872,7910.55749,8384.284765
