Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
2114.188833,0.0,0,5524.253696363043,5698.951993193748,4252.554328022417,-7760.0,1040.0,2010.0
2174.188833,0.0,0,5501.347206549503,5713.671958480266,4262.485507207761,-7900.0,744.0,1780.0
2234.188833,0.0,0,5478.381846835375,5728.282547239966,4272.442209619758,-8020.0,441.0,1550.0
2294.188833,0.0,0,5455.358056845353,5742.783479783105,4282.42424465777,-8120.0,137.0,1310.0
2354.188833,0.0,0,5432.276277322657,5757.174478519081,4292.431421236217,-8190.0,-167.0,1070.0
2414.188833,0.0,0,5409.136950120599,5771.45526796175,4302.463547788234,-8250.0,-471.0,823.0
2474.188833,0.0,0,5385.940518194122,5785.625574734698,4312.520432269343,-8290.0,-773.0,577.0
2534.188833,0.0,0,5362.687425591326,5799.685127576474,4322.601882161122,-8300.0,-1070.0,329.0
2594.188833,0.0,0,5339.378117444956,5813.633657345787,4332.707704474899,-8300.0,-1370.0,80.3
2654.188833,0.0,0,5316.013039963895,5827.470897026649,4342.83770575544,-8280.0,-1670.0,-169.0
2714.188833,0.0,0,5292.592640424612,5841.196581733503,4352.991692084654,-8230.0,-1960.0,-417.0
2774.188833,0.0,0,5269.117367162604,5854.810448716271,4363.1694690853055,-8170.0,-2240.0,-664.0
2834.188833,0.0,0,5245.587669563813,5868.312237365403,4373.370841924735,-8090.0,-2520.0,-910.0
2894.188833,0.0,0,5222.003998056025,5881.7016892168585,4383.595615318592,-7990.0,-2800.0,-1150.0
2918.3479218,0.0,0,5212.492858204048,5887.061191009108,4387.71919928522,-7940.0,-2910.0,-1250.0
2978.3479218,0.0,0,5188.834241075384,5900.292642073356,4397.976465583757,-7810.0,-3180.0,-1490.0
3038.3479218,0.0,0,5165.122736465668,5913.411144140692,4408.256661412539,-7670.0,-3440.0,-1730.0
3098.3479218,0.0,0,5141.358798283005,5926.416446084309,4418.559589978309,-7500.0,-3690.0,-1970.0
3158.3479218,0.0,0,5117.542881439237,5939.308298944388,4428.885054052638,-7320.0,-3930.0,-2200.0
3218.3479218,0.0,0,5093.675441841227,5952.086455932854,4439.232855975702,-7130.0,-4170.0,-2420.0
3278.3479218,0.0,0,5069.75693638214,5964.750672438106,4449.602797660064,-6910.0,-4390.0,-2640.0
3338.3479218,0.0,0,5045.787822932685,5977.300706029708,4459.994680594464,-6690.0,-4610.0,-2850.0
3398.3479218,0.0,0,5021.768560332364,5989.736316463012,4470.408305847628,-6440.0,-4820.0,-3060.0
3458.3479218,0.0,0,4997.699608380677,6002.057265683772,4480.843474072064,-6190.0,-5010.0,-3260.0
3518.3479218,0.0,0,4973.581427828327,6014.263317832694,4491.299985507887,-5910.0,-5190.0,-3450.0
3578.3479218,0.0,0,4949.414480368398,6026.354239249953,4501.77763998664,-5630.0,-5370.0,-3640.0
3638.3479218,0.0,0,4925.1992286275145,6038.3297984796645,4512.276236935124,-5330.0,-5530.0,-3810.0
3698.3479218,0.0,0,4900.936136156988,6050.18976627432,4522.795575379241,-5020.0,-5670.0,-3980.0
3758.3479218,0.0,0,4876.625667423945,6061.933915599166,4533.3354539478405,-4700.0,-5810.0,-4140.0
3818.3479218,0.0,0,4852.268287802428,6073.562021636562,4543.895670876569,-4370.0,-5930.0,-4290.0
3878.3479218,0.0,0,4827.864463564496,6085.073861790274,4554.476024011743,-4020.0,-6040.0,-4430.0
3938.3479218,0.0,0,4803.414661871297,6096.469215689744,4565.076310814209,-3670.0,-6130.0,-4560.0
3998.3479218,0.0,0,4778.919350764119,6107.747865194297,4575.696328363224,-3310.0,-6210.0,-4680.0
4058.3479218,0.0,0,4754.378999155435,6118.909594397333,4586.335873360341,-2940.0,-6270.0,-4780.0
4118.3479218,0.0,0,4729.794076819926,6129.954189630445,4596.994742133302,-2570.0,-6320.0,-4880.0
4178.3479218,0.0,0,4705.165054385492,6140.881439467519,4607.672730639932,-2190.0,-6350.0,-4960.0
4238.3479218,0.0,0,4680.492403324233,6151.691134728774,4618.369634472049,-1800.0,-6370.0,-5030.0
4298.3479218,0.0,0,4655.776595943433,6162.383068484774,4629.085248859378,-1410.0,-6370.0,-5090.0
4358.3479218,0.0,0,4631.018105376514,6172.957036060386,4639.819368673465,-1010.0,-6360.0,-5140.0
4418.3479218,0.0,0,4606.2174055739815,6183.412835038693,4650.57178843161,-616.0,-6330.0,-5170.0
4478.3479218,0.0,0,4581.37497129435,6193.750265264876,4661.342302300798,-217.0,-6280.0,-5190.0
4538.3479218,0.0,0,4556.491278095053,6203.969128850044,4672.130704101639,183.0,-6210.0,-5190.0
4598.3479218,0.0,0,4531.566802323341,6214.069230175019,4682.936787312315,583.0,-6130.0,-5190.0
4658.3479218,0.0,0,4506.602021107166,6224.050375894084,4693.760345072534,980.0,-6040.0,-5160.0
4718.3479218,0.0,0,4481.5974123460455,6233.912374938684,4704.6011701874895,1380.0,-5920.0,-5130.0
4778.3479218,0.0,0,4456.553454701912,6243.655038521078,4715.459055131827,1770.0,-5790.0,-5070.0
4838.3479218,0.0,0,4431.470627589948,6253.278180137964,4726.333792053617,2150.0,-5640.0,-5010.0
