Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
26.23648055,30611207.577645388,0,-4706.823532377855,2075.895083636297,2689.946783110804,-5552.222675,3510.816431,3737.783925,1967.6538464345913
27.23648055,32678582.3298462,0,-4715.10930846928,2052.299478208665,2693.539106846278,-5876.960802,3269.661807,3585.085678,1904.3962878339646
28.23648055,32631188.04923383,0,-4723.300287349824,2028.6645857182568,2697.090330959105,-6182.656865,3017.907591,3420.740395,1905.7787802932635
29.23648055,30541785.80503793,0,-4731.396312220005,2004.9908586065967,2700.600387468384,-6468.799851,2756.604091,3245.548528,1969.888825173384
30.23648055,27153236.806468464,0,-4739.397228098032,1981.2787500586203,2704.0692091812853,-6734.962443,2486.781712,3060.3063,2089.19090471245
31.23648055,23343701.605914224,0,-4747.3028818227895,1957.5287139939935,2707.4967296943337,-6980.794954,2209.448722,2865.802933,2253.222443727483
32.23648055,19722075.563432433,0,-4755.113122056758,1933.7412050584296,2710.8828833946823,-7206.019509,1925.589567,2662.818384,2451.3911892768715
33.23648055,16567799.163867434,0,-4762.82779928891,1909.9166786149813,2714.227605461365,-7410.424523,1636.163691,2452.121533,2674.5857067693582
34.23648055,13941625.59978322,0,-4770.44676583758,1886.0555907353264,2717.5308318665407,-7593.859503,1342.104762,2234.468776,2915.6287380719177
35.23648055,11800571.185611352,0,-4777.969875853284,1862.158398191036,2720.7924993767174,-7756.230186,1044.320257,2010.602951,3169.110741959887
36.23648055,10067681.511524031,0,-4785.396985321517,1838.225558444832,2724.012545553962,-7897.494034,743.6913444,1781.25258,3431.0274756637223
37.23648055,8664520.629017133,0,-4792.727952065507,1814.2575296418272,2727.190908757097,-8017.65607,441.0730108,1547.131351,3698.4236707664045
38.23648055,7523023.042694812,0,-4799.962635748935,1790.2547706007576,2730.3275281428814,-8116.765072,137.2943871,1308.937834,3969.106334322572
39.23648055,6587988.625365748,0,-4807.100897878628,1766.2177408051975,2733.422343667171,-8194.910096,-166.8407631,1067.355371,4241.432010513468
40.23648055,5816008.944702926,0,-4814.142601807201,1742.1469003947664,2736.475296086073,-8252.217328,-470.5534292,823.0521261,4514.154272830519
