Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
0.0,91276637.74934734,1,5505.389605,6058.278337,-3694.999427,2320.0,4870.0,3700.0
494.1888326999999,0.0,0,5301.242925858686,6289.285964534231,-3606.491005712038,2320.0,4870.0,3700.0
554.1888326999999,0.0,0,5275.94105083496,6316.782763959928,-3595.5212998936786,2320.0,4870.0,3700.0
614.1888329999999,0.0,0,5250.529039713226,6344.158641676426,-3584.5038442309287,2320.0,4870.0,3700.0
674.1888329999999,0.0,0,5225.007379208416,6371.413073354955,-3573.438849740549,2320.0,4870.0,3700.0
734.1888329999999,0.0,0,5199.3765577535705,6398.54553740252,-3562.326528184186,2320.0,4870.0,3700.0
794.1888329999999,0.0,0,5173.637065998183,6425.555514423767,-3551.167092284438,2320.0,4870.0,3700.0
854.1888329999999,0.0,0,5147.78939667201,6452.442487368102,-3539.9607556658093,2320.0,4870.0,3700.0
914.188833,0.0,0,5121.83404457565,6479.20594153959,-3528.707732850621,2320.0,4870.0,3700.0
974.188833,0.0,0,5095.771506571067,6505.845364606816,-3517.408239254909,2320.0,4870.0,3700.0
1034.188833,0.0,0,5069.602281572076,6532.36024661268,-3506.0624911842933,2320.0,4870.0,3700.0
1094.188833,0.0,0,5043.326870534798,6558.750079984165,-3494.6707058298425,2320.0,4870.0,3700.0
1154.188833,0.0,0,5016.945776448069,6585.014359542059,-3483.233101263915,2320.0,4870.0,3700.0
1214.188833,0.0,0,4990.45950432381,6611.152582510615,-3471.7498964359847,2320.0,4870.0,3700.0
1274.188833,0.0,0,4963.868561187353,6637.164248527182,-3460.221311168445,2320.0,4870.0,3700.0
1334.188833,0.0,0,4937.173456067753,6663.048859651783,-3448.647566152409,2320.0,4870.0,3700.0
1394.188833,0.0,0,4910.374699988025,6688.805920376646,-3437.0288829434794,2320.0,4870.0,3700.0
1454.188833,0.0,0,4883.47280595537,6714.43493763569,-3425.3654839575083,2320.0,4870.0,3700.0
1514.188833,0.0,0,4856.468288951355,6739.935420813964,-3413.657592466337,2320.0,4870.0,3700.0
1574.188833,0.0,0,4829.361665922052,6765.306881757034,-3401.905432593529,2320.0,4870.0,3700.0
1634.188833,0.0,0,4802.153455768144,6790.548834780338,-3390.1092293100737,2320.0,4870.0,3700.0
1694.188833,0.0,0,4774.844179334991,6815.660796678474,-3378.269208430078,2320.0,4870.0,3700.0
