Time (sec),Link Budget (kbps),Antenna X,Antenna Y,Antenna Z,Satelite X,Satelite Y,Satelite Z,Slant Distance (km)
2114.188833,675715.0141358904,3935.8720764034783,6727.297333525743,4538.910281556759,-7756.230186,1044.320257,2010.602951,13243.633252418485
2174.188833,647783.384022968,3908.851382116188,6735.132978765952,4550.625186758902,-7897.494034,743.6913444,1781.25258,13526.144667928407
2234.188833,622456.3884798102,3881.799492468688,6742.83969370386,4562.353616805509,-8017.65607,441.0730108,1547.131351,13798.582221414394
2294.188833,599441.7145365162,3854.7169253139054,6750.417330810219,4574.095347179854,-8116.765072,137.2943871,1308.937834,14060.975423721939
2354.188833,578488.5876448182,3827.60419909202,6757.865745026716,4585.850153110597,-8194.910096,-166.8407631,1067.355371,14313.357947425333
2414.188833,559381.011310894,3800.4618328205497,6765.184793768742,4597.617809576096,-8252.217328,-470.5534292,823.0521261,14555.766166158488
2474.188833,541932.2590286412,3773.290346084407,6772.374336928125,4609.3980913087125,-8288.847247,-773.088643,576.6812584,14788.237892000221
2534.188833,525980.3625640108,3746.0902590259584,6779.4342368758125,4621.190772799123,-8304.992087,-1073.714697,328.8811994,15010.811282613178
2594.188833,511384.3980339715,3718.8620923350622,6786.364358464504,4632.995628300634,-8300.87358,-1371.722312,80.27601373,15223.523890496273
2654.188833,498021.41388981283,3691.6063672391065,6793.164569031242,4644.8124318335085,-8276.740968,-1666.42378,-168.5241763,15426.41184058005
2714.188833,485783.87984971906,3664.323605493027,6799.834738399945,4656.640957189287,-8232.869254,-1957.152085,-416.9227173,15619.509099849118
2774.188833,474577.5580568213,3637.014329369321,6806.374738883909,4668.480977935122,-8169.557709,-2243.260027,-664.3359157,15802.846854732827
2834.188833,464319.7218275918,3609.67906164805,6812.78444528824,4680.332267418105,-8087.128576,-2524.119362,-910.1925063,15976.452950021518
2894.188833,451123.793528698,3582.318325606828,6819.063734912262,4692.194598769618,-7939.798306,-2908.441304,-1251.694232,16208.434236130333
2918.3479218,442466.51140860206,3571.294411190219,6821.55524452815,4696.974050806417,-7812.08519,-3176.120857,-1493.237622,16366.232893674998
2978.3479218,434916.6219410939,3543.898834646592,6827.651402878418,4708.851487365017,-7666.514452,-3436.54064,-1731.362087,16507.675646012267
3038.3479218,428049.8212139738,3516.4790490105,6833.616859850976,4720.739419850193,-7503.504192,-3689.143523,-1965.541578,16639.557394632313
3098.3479218,421825.0946846392,3489.03557917748,6839.4515012493885,4732.637620691869,-7323.493029,-3933.388136,-2195.260178,16761.879866580228
3158.3479218,416206.46991667687,3461.5689504964557,6845.155215381418,4744.5458621234,-7126.939801,-4168.748373,-2420.011724,16874.64000325804
3218.3479218,411162.51384512236,3434.079688759679,6850.72789306116,4756.463916185938,-6914.323412,-4394.712944,-2639.299462,16977.82972884849
3278.3479218,406665.9074004807,3406.568320192668,6856.169427611134,4768.391554732789,-6686.142798,-4610.784984,-2852.635728,17071.435734507377
3338.3479218,402693.08643371274,3379.0353714441253,6861.479714864323,4780.328549433784,-6442.917013,-4816.481736,-3059.541662,17155.439289691407
3398.3479218,399223.9409588739,3351.481369575868,6866.658653166176,4792.2746717796535,-6185.185435,-5011.334287,-3259.546969,17229.816068753153
3458.3479218,396241.56536391826,3323.9068420527265,6871.706143376543,4804.229693086394,-5913.508075,-5194.887393,-3452.189722,17294.53600070635
3518.3479218,393732.05477675557,3296.312316732457,6876.622088871581,4816.19338449965,-5628.465986,-5366.699371,-3637.016213,17349.56312481488
3578.3479218,391684.34180077125,3268.6983218556297,6881.4063955456,4828.165516999097,-5330.661775,-5526.34209,-3813.580871,17394.855480585273
3638.3479218,390090.0718773858,3241.06538603552,6886.058971812862,4840.145861402821,-5020.720203,-5673.401036,-3981.446231,17430.36499479542
3698.3479218,388943.5130034262,3213.414038247989,6890.579728609343,4852.134188371709,-4699.288868,-5807.475493,-4140.182983,17456.03740269057
3758.3479218,388241.49948947114,3185.74480782136,6894.968579394428,4864.130268413837,-4367.038972,-5928.178812,-4289.370084,17471.812171260273
3818.3479218,387983.4074210616,3158.058224426278,6899.225440152574,4876.1338718888655,-4024.666155,-6035.138804,-4428.594965,17477.622453847904
3878.3479218,388171.1621001105,3130.354818065576,6903.350229394916,4888.144769012435,-3672.891406,-6127.998246,-4557.453823,17473.395063177253
3938.3479218,388809.27800293814,3102.635119064131,6907.342868160827,4900.162729860561,-3312.462019,-6206.415516,-4675.552006,17459.050459619048
3998.3479218,389904.93105710903,3074.899658058708,6911.203280019427,4912.187524374042,-2944.152611,-6270.065373,-4782.504519,17434.50278432377
4058.3479218,391468.0666054576,3047.1489659878016,6914.931391071055,4924.218922362858,-2568.766175,-6318.639872,-4877.936632,17399.65990350049
4118.3479218,393511.5441246983,3019.383574081475,6918.527129948672,4936.25669351058,-2187.135157,-6351.849445,-4961.484629,17354.42350023135
4178.3479218,396051.32258484914,2991.60401385119,6921.990427819235,4948.3006073787765,-1800.122557,-6369.424154,-5032.796685,17298.689206859843
4238.3479218,399106.6910456383,2963.8108170796318,6925.321218385012,4960.350433411428,-1408.623024,-6371.115113,-5091.533901,17232.34677812571
4298.3479218,402700.5493641762,2936.0045158105268,6928.519437884851,4972.405940939338,-1013.563928,-6356.696112,-5137.371501,17155.280324867665
4358.3479218,406859.7462554362,2908.1856423384643,6931.585025095401,4984.466899184548,-615.9063979,-6325.96544,-5170.000201,17067.368605949596
4418.3479218,411615.48257361096,2880.3547291987006,6934.517921332287,4996.53307726476,-216.6462854,-6278.747928,-5189.127775,16968.4853975514
4478.3479218,417003.79075923585,2852.5123091569644,6937.318070451227,5008.604244197751,183.1849617,-6214.897211,-5194.480816,16858.499934547894
4538.3479218,423066.1017446385,2824.658915199266,6939.985418849108,5020.680168905794,582.5195612,-6134.298238,-5185.806727,16737.277460172565
