Antenna,Time (sec),X,Y,Z
DSS 24,9485.66796,2073.4615783698046,6840.704642239303,5449.739002757326
DSS 24,9545.66796,2046.0038295408986,6839.477895314079,5461.643394301631
DSS 24,9605.66796,2018.5512679527014,6838.120220617212,5473.545536901755
DSS 24,9665.66796,1991.1044191281803,6836.631644138597,5485.4452027156
DSS 24,9725.66796,1963.6638084809429,6835.012194373978,5497.342163948476
DSS 24,9785.66796,1936.2299613051782,6833.261902324397,5509.236192857471
DSS 24,9845.66796,1908.8034027656067,6831.380801495605,5521.127061755804
DSS 24,9905.66796,1881.384657887419,6829.368927897418,5533.014543017186
DSS 24,9965.66796,1853.9742515462285,6827.226320043028,5544.89840908018
DSS 24,10025.66796,1826.5727084580294,6824.953018948267,5556.77843245255
DSS 24,10085.66796,1799.1805531691411,6822.549068130818,5568.654385715625
DSS 24,10145.66796,1771.798310046178,6820.01451360939,5580.526041528645
DSS 24,10205.66796,1744.4265032660028,6817.349403902826,5592.393172633116
DSS 24,10265.66796,1717.0656568056966,6814.553790029187,5604.255551857163
DSS 24,10325.66796,1689.7162944325296,6811.627725504763,5616.112952119871
DSS 24,10385.66796,1662.3789396939314,6808.571266343056,5627.965146435643
DSS 24,10445.66796,1635.0541159074687,6805.384471053705,5639.811907918534
DSS 24,10505.66796,1607.742346150831,6802.067400641368,5651.653009786603
DSS 24,10565.66796,1580.444153251814,6798.620118604553,5663.488225366249
DSS 24,10625.66796,1553.1600597783122,6795.042690934399,5675.317328096553
DSS 24,10685.66796,1525.8905880283173,6791.335186113423,5687.140091533611
DSS 24,10745.66796,1498.6362600199163,6787.497675114195,5698.956289354875
DSS 24,10805.66796,1471.3975974812993,6783.530231397992,5710.765695363481
DSS 24,10865.66796,1444.1751218407771,6779.432930913381,5722.5680834925815
DSS 24,10925.66796,1416.9693542167906,6775.205852094775,5734.36322780967
DSS 24,10985.66796,1389.7808154079435,6770.849075860925,5746.150902520909
DSS 24,11045.66796,1362.6100258830293,6766.362685613373,5757.9308819754515
DSS 24,11105.66796,1335.457505771064,6761.746767234857,5769.702940669759
DSS 24,11165.66796,1308.3237748513393,6757.001409087661,5781.466853251923
DSS 24,11225.66796,1281.2093525434607,6752.126702011932,5793.22239452597
DSS 24,11285.66796,1254.1147578974123,6747.122739323935,5804.969339456184
DSS 24,11345.66796,1227.040509583619,6741.989616814271,5816.707463171403
DSS 24,11405.66796,1199.9871258830162,6736.727432746036,5828.436540969335
DSS 24,11465.66796,1172.955124677128,6731.33628785295,5840.156348320848
DSS 24,11525.66796,1145.945023438156,6725.816285337418,5851.866660874278
DSS 24,11585.66796,1118.9573392190719,6720.167530868565,5863.567254459715
DSS 24,11645.66796,1091.9925886437177,6714.390132580205,5875.257905093303
DSS 24,11705.66796,1065.0512878969216,6708.4842010687735,5886.93838898152
DSS 24,11765.66796,1038.1339527146065,6702.449849391214,5898.608482525468
DSS 24,11798.96796,1023.2053625149451,6699.045411655208,5905.080818770097
DSS 24,11858.96796,996.3263172180918,6692.811596994601,5916.734311616314
DSS 24,11918.96796,969.4725530842793,6686.449662187714,5928.376843736456
DSS 24,11978.96796,942.6445841737286,6679.959729020737,5940.008192258131
DSS 24,12038.96796,915.8429240528621,6673.341921730123,5951.628134523038
DSS 24,12098.96796,889.06808578447,6666.596367000217,5963.236448091222
DSS 24,12158.96796,862.3205819178979,6659.723193960823,5974.832910745337
DSS 24,12218.96796,835.6009244792317,6652.722534184737,5986.417300494899
DSS 24,12278.96796,808.9096249614877,6645.594521685228,5997.989395580533
DSS 24,12338.96796,782.2471943148362,6638.33929291347,6009.54897447822
DSS 24,12398.96796,755.6141429368045,6630.956986755932,6021.095815903542
DSS 24,12458.96796,729.0109806625196,6623.44774453172,6032.629698815908
DSS 24,12518.96796,702.438216754942,6615.811709989868,6044.150402422796
DSS 24,12578.96796,675.896359895115,6608.049029306592,6055.657706183971
DSS 24,12638.96796,649.3859181724338,6600.159851082485,6067.151389815714
DSS 24,12698.96796,622.9073990749125,6592.1443263396795,6078.631233295031
DSS 24,12758.96796,596.4613094794718,6584.00260851895,6090.097016863874
DSS 24,12818.96796,570.0481556422392,6575.734853476781,6101.548521033341
DSS 24,12878.96796,543.6684431888507,6567.341219482378,6112.98552658788
DSS 24,12938.96796,517.3226771047784,6558.821867214643,6124.407814589484
DSS 24,12998.96796,491.01136172566066,6550.1769597590965,6135.815166381885
DSS 24,13058.96796,464.73500072764546,6541.406662604755,6147.207363594738
DSS 24,13118.96796,438.49409711775434,6532.5111436409625,6158.584188147801
DSS 24,13178.96796,412.28915322424655,6523.4905731541785,6169.9454222551085
DSS 24,13238.96796,386.12067068700753,6514.345123824718,6181.290848429146
DSS 24,13298.96796,359.9891504479474,6505.0749707234445,6192.620249485004
DSS 24,13358.96796,333.8950927414053,6495.680291308419,6203.933408544546
DSS 24,13418.96796,307.83899708457784,6486.161265421502,6215.230109040554
DSS 24,13478.96796,281.8213622679573,6476.518075284919,6226.510134720873
DSS 24,13538.96796,255.84268634578166,6466.7509054977545,6237.7732696525545
DSS 24,13598.96796,229.90346662650154,6456.8599430324375,6249.01929822599
DSS 24,13658.96796,204.00419966325535,6446.8453772311495,6260.2480051590355
DSS 24,13718.96796,178.14538124437422,6436.707399802208,6271.459175501135
DSS 24,13778.96796,152.32750638388143,6426.446204816388,6282.652594637434
