Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
3251.178301,WPSA,277.9589604070085,-224030.461,-55808.11772,-14901.68913
3252.178301,WPSA,277.8219831990619,-224100.1452,-55840.02704,-14918.5596
3253.178301,WPSA,277.6850004827339,-224169.8037,-55871.92972,-14935.42827
3254.178301,WPSA,277.5480117031278,-224239.4364,-55903.82578,-14952.29514
3255.178301,WPSA,277.41101610020866,-224309.0433,-55935.71521,-14969.1602
3256.178301,WPSA,277.2740126675996,-224378.6245,-55967.59803,-14986.02345
3257.178301,WPSA,277.13700065613654,-224448.18,-55999.47422,-15002.88491
3258.178301,WPSA,276.9999793030979,-224517.7098,-56031.34381,-15019.74455
3259.178301,WPSA,276.8629476463611,-224587.214,-56063.20677,-15036.60239
3260.178301,WPSA,276.72590515819553,-224656.6925,-56095.06313,-15053.45843
3261.178301,WPSA,276.588850882836,-224726.1454,-56126.91288,-15070.31266
3262.178301,WPSA,276.45178431358886,-224795.5726,-56158.75603,-15087.16509
3263.178301,WPSA,276.31470427660383,-224864.9743,-56190.59257,-15104.01571
3264.178301,WPSA,276.17761050866744,-224934.3503,-56222.42251,-15120.86452
3265.178301,WPSA,276.0405018332655,-225003.7008,-56254.24586,-15137.71152
3266.178301,WPSA,275.9033775493857,-225073.0258,-56286.06261,-15154.55672
3267.178301,WPSA,275.76623718934815,-225142.3252,-56317.87276,-15171.40011
3268.178301,WPSA,275.62907981565843,-225211.5991,-56349.67633,-15188.2417
3269.178301,WPSA,275.4919045227992,-225280.8476,-56381.47331,-15205.08147
3270.178301,WPSA,275.35471108166854,-225350.0705,-56413.2637,-15221.91944
3271.178301,WPSA,275.217498354966,-225419.268,-56445.04751,-15238.7556
3272.178301,WPSA,275.08026589477583,-225488.44,-56476.82475,-15255.58995
3273.178301,WPSA,274.9430128205127,-225557.5866,-56508.5954,-15272.42249
3274.178301,WPSA,274.805738461399,-225626.7078,-56540.35948,-15289.25322
3275.178301,WPSA,274.668442164642,-225695.8036,-56572.11699,-15306.08214
3276.178301,WPSA,274.53112306177275,-225764.8741,-56603.86792,-15322.90925
3277.178301,WPSA,274.39378072716937,-225833.9192,-56635.61229,-15339.73455
3278.178301,WPSA,274.25641452531204,-225902.9389,-56667.3501,-15356.55804
3279.178301,WPSA,274.1190236055102,-225971.9333,-56699.08134,-15373.37972
3280.178301,WPSA,273.98160733818315,-226040.9024,-56730.80602,-15390.19959
3281.178301,WPSA,273.8441648812987,-226109.8463,-56762.52414,-15407.01764
3282.178301,WPSA,273.7066960656544,-226178.7648,-56794.23571,-15423.83389
3283.178301,WPSA,273.5691998366456,-226247.6581,-56825.94073,-15440.64832
3284.178301,WPSA,273.4316755920413,-226316.5262,-56857.6392,-15457.46094
3285.178301,WPSA,273.2941229698383,-226385.369,-56889.33111,-15474.27175
3286.178301,WPSA,273.1565411372475,-226454.1866,-56921.01649,-15491.08075
3287.178301,WPSA,273.018929300605,-226522.9791,-56952.69532,-15507.88793
3288.178301,WPSA,272.8812871008167,-226591.7464,-56984.36761,-15524.6933
3289.178301,WPSA,272.7436139693813,-226660.4885,-57016.03336,-15541.49685
3290.178301,WPSA,272.60590910767024,-226729.2055,-57047.69258,-15558.29859
3291.178301,WPSA,272.46817195694246,-226797.8974,-57079.34527,-15575.09852
3292.178301,WPSA,272.3304021974665,-226866.5641,-57110.99142,-15591.89663
3293.178301,WPSA,272.19259881791453,-226935.2058,-57142.63105,-15608.69293
3294.178301,WPSA,272.0547615103498,-227003.8224,-57174.26415,-15625.48741
3295.178301,WPSA,271.91688950661177,-227072.414,-57205.89073,-15642.28008
3296.178301,WPSA,271.77898250405644,-227140.9805,-57237.51079,-15659.07093
3297.178301,WPSA,271.641039528543,-227209.5221,-57269.12433,-15675.85997
3298.178301,WPSA,271.50306051304506,-227278.0386,-57300.73135,-15692.64719
3299.178301,WPSA,271.36504471576905,-227346.5301,-57332.33186,-15709.43259
3300.178301,WPSA,271.22699140505205,-227414.9967,-57363.92586,-15726.21618
3301.178301,WPSA,271.0889003010919,-227483.4383,-57395.51336,-15742.99795
3302.178301,WPSA,270.95077092164036,-227551.8549,-57427.09434,-15759.7779
3303.178301,WPSA,270.81260231220745,-227620.2467,-57458.66883,-15776.55604
3304.178301,WPSA,270.674394453526,-227688.6135,-57490.23681,-15793.33235
3305.178301,WPSA,270.53614641301,-227756.9555,-57521.79829,-15810.10685
3306.178301,WPSA,270.39785793735655,-227825.2726,-57553.35328,-15826.87954
3307.178301,WPSA,270.2595283504855,-227893.5649,-57584.90177,-15843.6504
3308.178301,WPSA,270.12115739977725,-227961.8323,-57616.44378,-15860.41945
3309.178301,WPSA,269.98274442708845,-228030.0749,-57647.97929,-15877.18667
3310.178301,WPSA,269.84428896938783,-228098.2927,-57679.50832,-15893.95208
3311.178301,WPSA,269.70579059435323,-228166.4857,-57711.03086,-15910.71567
3312.178301,WPSA,269.56724886129837,-228234.6539,-57742.54692,-15927.47744
3313.178301,WPSA,269.42866312240255,-228302.7974,-57774.0565,-15944.23738
3314.178301,WPSA,269.2900331655608,-228370.9161,-57805.55961,-15960.99551
3315.178301,WPSA,269.1513581399328,-228439.0102,-57837.05624,-15977.75182
3316.178301,WPSA,269.01263807074974,-228507.0795,-57868.5464,-15994.50631
3317.178301,WPSA,268.8738723342136,-228575.1241,-57900.03009,-16011.25897
3318.178301,WPSA,268.7350603059652,-228643.1441,-57931.50731,-16028.00982
3319.178301,WPSA,268.5962018122181,-228711.1394,-57962.97807,-16044.75884
3320.178301,WPSA,268.45729624063284,-228779.1101,-57994.44237,-16061.50605
3321.178301,WPSA,268.3183434404759,-228847.0561,-58025.9002,-16078.25143
3322.178301,WPSA,268.1793428020542,-228914.9775,-58057.35158,-16094.99499
3323.178301,WPSA,268.04029374445804,-228982.8744,-58088.7965,-16111.73672
3324.178301,WPSA,267.90119611331227,-229050.7467,-58120.23497,-16128.47664
3325.178301,WPSA,267.76204955544665,-229118.5944,-58151.66699,-16145.21473
3326.178301,WPSA,267.6228537164272,-229186.4175,-58183.09256,-16161.951
