Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
43.23648055,0.0,0,-1525.0095287108884,-4862.880681402892,-1719.290063401461,-8300.87358,-1371.722312,80.27601373,7831.9192071781645
44.23648055,0.0,0,-1505.4825843022986,-4865.963645009624,-1727.7560302712222,-8276.740968,-1666.42378,-168.5241763,7649.718911242474
45.23648055,0.0,0,-1485.94345110738,-4868.953459725948,-1736.227281626824,-8232.869254,-1957.152085,-416.9227173,7465.933268456646
46.23648055,0.0,0,-1466.392503162749,-4871.85006831799,-1744.70365530354,-8169.557709,-2243.260027,-664.3359157,7280.735116376596
47.23648055,0.0,0,-1446.830114731191,-4874.653415336126,-1753.1849890385872,-8087.128576,-2524.119362,-910.1925063,7094.30830430814
48.63913203,0.0,0,-1419.3723397036176,-4878.428282354025,-1765.0893919414054,-7939.798306,-2908.441304,-1251.694232,6830.840216773321
49.63913203,2687270.150254676,0,-1399.7839949392137,-4881.007338364529,-1773.5819791244749,-7812.08519,-3176.120857,-1493.237622,6640.996724068537
50.63913203,2847977.60505281,0,-1380.1854847711113,-4883.492957503976,-1782.078973549616,-7666.514452,-3436.54064,-1731.362087,6450.90498270843
51.63913203,3023500.386582583,0,-1360.5771843725763,-4885.88509219029,-1790.580212559304,-7503.504192,-3689.143523,-1965.541578,6260.858893463686
52.63913203,3215368.9656212265,0,-1340.95946910429,-4888.183696630961,-1799.0855334147604,-7323.493029,-3933.388136,-2195.260178,6071.1857743682385
53.63913203,3425236.4194047847,0,-1321.3327145071607,-4890.3887268239205,-1807.594773299068,-7126.939801,-4168.748373,-2420.011724,5882.2523717117765
54.63913203,3654861.9175820416,0,-1301.6972962951368,-4892.500140558392,-1816.1077693202872,-6914.323412,-4394.712944,-2639.299462,5694.471755189116
55.63913203,3906078.155033478,0,-1282.0535903480136,-4894.517897415689,-1824.624358514576,-6686.142798,-4610.784984,-2852.635728,5508.311166429084
56.63913203,4180735.364616002,0,-1262.4019727042382,-4896.441958769999,-1833.1443778493071,-6442.917013,-4816.481736,-3059.541662,5324.300894815039
57.63913203,4480612.075339647,0,-1242.742819553711,-4898.272287789113,-1841.667664226192,-6185.185435,-5011.334287,-3259.546969,5143.044209954934
58.63913203,4807280.033606658,0,-1223.076507230584,-4900.0088494351385,-1850.1940544844,-5913.508075,-5194.887393,-3452.189722,4965.228269286473
59.63913203,5161907.991008346,0,-1203.403412206057,-4901.6516104651655,-1858.7233854036824,-5628.465986,-5366.699371,-3637.016213,4791.6357939904865
60.63913203,5544987.331715,0,-1183.7239110811702,-4903.200539431904,-1867.2554937075004,-5330.661775,-5526.34209,-3813.580871,4623.157093755399
61.63913203,5955963.56476367,0,-1164.038380579596,-4904.655606684288,-1875.7902160661447,-5020.720203,-5673.401036,-3981.446231,4460.801662000777
62.63913203,6392764.190590028,0,-1144.3471975404282,-4906.016784368037,-1884.3273890998664,-4699.288868,-5807.475493,-4140.182983,4305.70813505384
63.63913203,6851229.683043123,0,-1124.6507389109634,-4907.284046426203,-1892.866849382004,-4367.038972,-5928.178812,-4289.370084,4159.150794331067
64.63913203,7324485.028820948,0,-1104.949381739491,-4908.457368599648,-1901.4084334421116,-4024.666155,-6035.138804,-4428.594965,4022.540100262786
65.63913203,7802338.187375022,0,-1085.243503168073,-4909.536728427531,-1909.951977769086,-3672.891406,-6127.998246,-4557.453823,3897.4140348873084
66.63913203,8270857.087284937,0,-1065.533480425324,-4910.522105247719,-1918.4973188143008,-3312.462019,-6206.415516,-4675.552006,3785.416507813261
67.63913203,8712343.516451383,0,-1045.8196908191894,-4911.413480197196,-1927.044292994734,-2944.152611,-6270.065373,-4782.504519,3688.259202382188
68.63913203,9105957.77691848,0,-1026.1025117297245,-4912.210836212418,-1935.592736696101,-2568.766175,-6318.639872,-4877.936632,3607.664259450008
69.63913203,9429200.407012604,0,-1006.3823206018686,-4912.914158029639,-1944.142486275986,-2187.135157,-6351.849445,-4961.484629,3545.2878059487707
70.63913203,9660280.567249857,0,-986.659494938221,-4913.523432185208,-1952.6933780669751,-1800.122557,-6369.424154,-5032.796685,3502.6283626013646
71.63913203,9781095.37877562,0,-966.9344122918128,-4914.038647015817,-1961.2452483797888,-1408.623024,-6371.115113,-5091.533901,3480.929144087899
72.63913203,9780204.776930936,0,-947.207450258882,-4914.4597926587385,-1969.7979335064165,-1013.563928,-6356.696112,-5137.371501,3481.0876301020144
73.63913203,9654992.128284452,0,-927.478986471642,-4914.786861052004,-1978.3512697232484,-615.9063979,-6325.96544,-5170.000201,3503.587498572135
74.63913203,9412319.672357101,0,-907.7493985910544,-4915.0198459345565,-1986.905093294212,-216.6462854,-6278.747928,-5189.127775,3548.4655695254064
75.63913203,9067434.41288332,0,-888.0190642996007,-4915.158742846382,-1995.4592404739049,183.1849617,-6214.897211,-5194.480816,3615.3197910554923
