Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
0.0,11370100.204070952,1,6290.419855,5112.81574,3920.380631,3689.773564,4222.72217,3028.891599
8.236480545,0.0,0,6118.901777254548,5261.247177631497,3994.74282169274,2319.817224,4865.712767,3698.167005
9.236480545,0.0,0,6097.746638327152,5278.80706852708,4003.914697309169,1865.808701,4981.749611,3862.256016
10.23648055,0.0,0,6076.521212549387,5296.265907578987,4013.117046005983,1402.384261,5072.667625,4006.812686
11.23648055,0.0,0,6055.225906450734,5313.623360398977,4022.349691531071,932.0104707,5138.4804,4131.480818
12.23648055,0.0,0,6033.861127580185,5330.879094801775,4031.612457190314,457.1066771,5179.368385,4236.050692
13.23648055,0.0,0,6012.427284922596,5348.03278046175,4040.905165667069,-19.97676063,5195.6658,4320.451362
14.23648055,0.0,0,5990.92478878491,5365.084089006784,4050.227639071496,-496.9769412,5187.846254,4384.741366
15.23648055,0.0,0,5969.354050788297,5382.03269402456,4059.579698943971,-971.7335203,5156.50757,4429.098291
16.23648055,0.0,0,5947.71548386028,5398.878271068808,4068.961166258494,-1442.200491,5102.356322,4453.807591
17.23648055,0.0,0,5926.009502226827,5415.620497665518,4078.371861426122,-1906.454806,5026.192483,4459.251039
18.23648055,0.0,0,5904.23652140442,5432.259053319112,4087.811604298404,-2362.702095,4928.894567,4445.895151
19.23648055,0.0,0,5882.396958192108,5448.793619518581,4097.280214170831,-2809.27978,4811.405518,4414.27986
20.23648055,0.0,0,5860.491230663518,5465.223879743578,4106.777509786291,-3244.657942,4674.719569,4365.00765
21.23648055,0.0,0,5838.519758158858,5481.549519470482,4116.303309338549,-3667.438274,4519.870184,4298.733329
22.23648055,0.0,0,5816.482961276892,5497.770226178414,4125.857430475715,-4076.35148,4347.919174,4216.154538
23.23648055,0.0,0,5794.381261866883,5513.8856893552265,4135.439690303743,-4470.253434,4159.946995,4118.003068
24.23648055,0.0,0,5772.215083020519,5529.8956005034415,4145.049905389928,-4848.120379,3957.044221,4005.037018
25.23648055,0.0,0,5749.984849063816,5545.799653146156,4154.687891766418,-5209.043443,3740.304141,3878.033793
26.23648055,0.0,0,5727.69098554899,5561.597542832913,4164.353464933742,-5552.222675,3510.816431,3737.783925
27.23648055,0.0,0,5705.333919246323,5577.28896714553,4174.046439864329,-5876.960802,3269.661807,3585.085678
28.23648055,0.0,0,5682.914078135976,5592.873625703878,4183.766631006063,-6182.656865,3017.907591,3420.740395
29.23648055,0.0,0,5660.431891399807,5608.351220171649,4193.513852285827,-6468.799851,2756.604091,3245.548528
30.23648055,0.0,0,5637.887789413155,5623.7214542620495,4203.287917113069,-6734.962443,2486.781712,3060.3063
31.23648055,0.0,0,5615.282203736597,5638.984033743485,4213.088638383371,-6980.794954,2209.448722,2865.802933
32.23648055,0.0,0,5592.615567107693,5654.138666445186,4222.915828482033,-7206.019509,1925.589567,2662.818384
33.23648055,0.0,0,5569.888313432695,5669.185062262799,4232.769299287663,-7410.424523,1636.163691,2452.121533
34.23648055,0.0,0,5547.100877778243,5684.12293316395,4242.648862175778,-7593.859503,1342.104762,2234.468776
35.23648055,0.0,0,5524.253696363043,5698.951993193748,4252.554328022417,-7756.230186,1044.320257,2010.602951
36.23648055,0.0,0,5501.347206549503,5713.671958480266,4262.485507207761,-7897.494034,743.6913444,1781.25258
37.23648055,0.0,0,5478.381846835375,5728.282547239966,4272.442209619758,-8017.65607,441.0730108,1547.131351
38.23648055,0.0,0,5455.358056845353,5742.783479783105,4282.42424465777,-8116.765072,137.2943871,1308.937834
39.23648055,0.0,0,5432.276277322657,5757.174478519081,4292.431421236217,-8194.910096,-166.8407631,1067.355371
40.23648055,0.0,0,5409.136950120599,5771.45526796175,4302.463547788234,-8252.217328,-470.5534292,823.0521261
41.23648055,0.0,0,5385.940518194122,5785.625574734698,4312.520432269343,-8288.847247,-773.088643,576.6812584
42.23648055,0.0,0,5362.687425591326,5799.685127576474,4322.601882161122,-8304.992087,-1073.714697,328.8811994
43.23648055,0.0,0,5339.378117444956,5813.633657345787,4332.707704474899,-8300.87358,-1371.722312,80.27601373
