Antenna,Time (sec),X,Y,Z
DSS 24,1994.1888330000002,-1719.5264775248277,-4826.941721249757,-1634.9566413458645
DSS 24,2054.188833,-1700.1419381226751,-4830.952634192295,-1643.3608680866344
DSS 24,2114.188833,-1680.7414835802506,-4834.871068458392,-1651.7719948854701
DSS 24,2174.188833,-1661.3254852794526,-4838.696949037661,-1660.1898607286068
DSS 24,2234.188833,-1641.8943148997314,-4842.430202691472,-1668.6143044732735
DSS 24,2294.188833,-1622.4483444109776,-4846.070757954341,-1677.0451648507792
DSS 24,2354.188833,-1602.9879460663979,-4849.618545135307,-1685.4822804696003
DSS 24,2414.188833,-1583.513492395392,-4853.073496319263,-1693.9254898184681
DSS 24,2474.188833,-1564.0253561964191,-4856.435545368257,-1702.3746312694634
DSS 24,2534.188833,-1544.5239105298629,-4859.70462792276,-1710.8295430811077
DSS 24,2594.188833,-1525.0095287108886,-4862.880681402892,-1719.2900634014618
DSS 24,2654.188833,-1505.482584302299,-4865.963645009624,-1727.7560302712227
DSS 24,2714.188833,-1485.9434511073805,-4868.953459725948,-1736.2272816268244
DSS 24,2774.188833,-1466.3925031627496,-4871.85006831799,-1744.7036553035405
DSS 24,2834.188833,-1446.8301147311913,-4874.653415336126,-1753.1849890385877
DSS 24,2918.3479217999998,-1419.3723397036179,-4878.428282354025,-1765.089391941406
DSS 24,2978.3479217999998,-1399.783994939214,-4881.007338364529,-1773.5819791244753
DSS 24,3038.3479217999998,-1380.1854847711115,-4883.492957503976,-1782.0789735496164
DSS 24,3098.3479217999998,-1360.577184372577,-4885.88509219029,-1790.5802125593045
DSS 24,3158.3479217999998,-1340.9594691042903,-4888.183696630961,-1799.085533414761
DSS 24,3218.3479217999998,-1321.332714507161,-4890.3887268239205,-1807.5947732990683
DSS 24,3278.3479217999998,-1301.6972962951372,-4892.500140558392,-1816.1077693202874
DSS 24,3338.3479217999998,-1282.053590348014,-4894.517897415689,-1824.6243585145762
DSS 24,3398.3479217999998,-1262.4019727042387,-4896.441958769999,-1833.1443778493076
DSS 24,3458.3479217999998,-1242.7428195537111,-4898.272287789113,-1841.6676642261925
