Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
136.094466,21477.323336320238,1,1392.9454999630425,8664.230529109504,-1912.036623476513,-6615.612252,7877.030882,7506.801208
137.094466,21477.323336320238,1,1358.147487911054,8673.066850274156,-1896.9498382119384,-7039.861933,7907.435834,7593.107983
138.094466,21477.323336320238,1,1323.3143380079557,8681.737143368626,-1881.84781882383,-7459.54588,7932.709079,7674.483644
139.094466,21477.323336320238,1,1288.4467170629343,8690.241242417942,-1866.7308544093623,-7874.704133,7953.166718,7751.197386
140.094466,21477.323336320238,1,1253.545292545053,8698.578984628572,-1851.599234351804,-8285.385762,7969.100667,7823.499537
141.094466,21477.323336320238,1,1218.610732570478,8706.75021039155,-1836.453248314976,-8691.646928,7980.78076,7891.623028
142.094466,21477.323336320238,1,1183.6437058896834,8714.754763285524,-1821.293186237704,-9093.549275,7988.45666,7955.784767
143.094466,21477.323336320238,1,1148.6448818746533,8722.59249007975,-1806.1193383282737,-9491.158605,7992.359609,8016.186895
144.094466,21477.323336320238,1,1113.6149305060646,8730.263240737033,-1790.9319950588704,-9884.543776,7992.704013,8073.017962
145.094466,21477.323336320238,1,1078.5545223604656,8737.76686841659,-1775.7314471600212,-10273.7758,7989.68888,8126.45399
146.094466,21477.323336320238,1,1043.464328597437,8745.103229476857,-1760.5179856150282,-10658.92711,7983.499129,8176.659459
147.094466,21477.323336320238,1,1008.3450209467426,8752.272183478262,-1745.2919016543992,-11040.07094,7974.306774,8223.788213
148.094466,21477.323336320238,1,973.1972716954708,8759.273593185886,-1730.0534867502715,-11417.28082,7962.272004,8267.984275
149.094466,21477.323336320238,1,938.0217536751712,8766.107324572105,-1714.8030326108344,-11790.63019,7947.54415,8309.382614
150.094466,21477.323336320238,1,902.819140248964,8772.773246819153,-1699.5408311747426,-12160.19205,7930.262579,8348.109824
151.094466,21477.323336320238,1,867.5901052986576,8779.271232321624,-1684.2671746055278,-12526.03872,7910.55749,8384.284765
152.094466,21477.323336320238,1,832.3353232118463,8785.60115668892,-1668.982355286009,-12888.2416,7888.55065,8418.019138
153.094466,21477.323336320238,1,797.0554688690002,8791.762898747624,-1653.686665812691,-13246.87102,7864.356056,8449.418012
154.094466,21477.323336320238,1,761.7512176305465,8797.756340543825,-1638.3803989901678,-13601.99612,7838.080537,8478.580313
155.094466,21477.323336320238,1,726.4232453239431,8803.581367345381,-1623.0638478255123,-13953.6847,7809.824305,8505.599266
156.094466,21477.323336320238,1,691.072228230734,8809.2378676441,-1607.7373055226724,-14302.00322,7779.681459,8530.562802
157.094466,21477.323336320238,1,655.6988430736121,8814.725733157895,-1592.4010654768538,-14647.0167,7747.740437,8553.553931
158.094466,21477.323336320238,1,620.3037670034603,8820.044858832836,-1577.0554212689074,-14988.78867,7714.084442,8574.651087
159.094466,21477.323336320238,1,584.8876775863889,8825.195142845178,-1561.7006666597056,-15327.38119,7678.791812,8593.928444
160.094466,21477.323336320238,1,549.451252790768,8830.176486603297,-1546.337095584523,-15662.85482,7641.936383,8611.456201
161.094466,21477.323336320238,1,513.9951709742411,8834.988794749592,-1530.9650021474056,-15995.26863,7603.587797,8627.300853
162.094466,21477.323336320238,1,478.5201108707512,8839.631975162292,-1515.5846806155423,-16324.68018,7563.811802,8641.525435
163.094466,21477.323336320238,1,443.0267515775397,8844.105938957237,-1500.1964254136346,-16651.14556,7522.670522,8654.18975
164.094466,21477.323336320238,1,407.51577254214607,8848.41060048957,-1484.8005311182544,-16974.71941,7480.2227,8665.350577
165.094466,21477.323336320238,1,371.9878535494092,8852.545877355376,-1469.397292452211,-17295.45494,7436.523929,8675.061862
166.094466,21477.323336320238,1,336.4436747084412,8856.511690393269,-1453.9870042789055,-17613.40393,7391.62686,8683.374901
167.094466,21477.323336320238,1,300.8839164396201,8860.307963685886,-1438.5699615966864,-17928.61682,7345.581397,8690.3385
168.094466,21477.323336320238,1,265.309259461562,8863.93462456137,-1423.146459533206,-18241.14268,7298.434872,8695.999134
169.094466,21477.323336320238,1,229.72038477808167,8867.39160359474,-1407.7167933397652,-18551.02927,7250.232212,8700.401081
170.094466,21477.323336320238,1,194.11797366517084,8870.678834609222,-1392.2812583856671,-18858.32306,7201.016091,8703.586562
171.094466,21477.323336320238,1,158.50270765794102,8873.796254677523,-1376.8401501525586,-19163.06929,7150.827069,8705.595855
172.094466,21477.323336320238,1,122.87526853758862,8876.743804123034,-1361.3937642287765,-19465.31199,7099.703724,8706.467413
173.094466,21477.323336320238,1,87.23633831833894,8879.521426520969,-1345.9423963036863,-19765.09399,7047.68277,8706.237971
174.094466,21477.323336320238,1,51.58659923438944,8882.129068699442,-1330.4863421620273,-20062.457,6994.799173,8704.942638
175.094466,21477.323336320238,1,15.926733726851296,8884.566680740496,-1315.0258976782427,-20357.44161,6941.086252,8702.614996
176.094466,21477.323336320238,1,-19.74257556931326,8886.834215981049,-1299.5613588108229,-20650.08732,6886.575775,8699.287177
177.094466,21477.323336320238,1,-55.42064583836083,8888.931631013795,-1284.0930215966357,-20940.4326,6831.298052,8694.989952
178.094466,21477.323336320238,1,-91.10679409684036,8890.858885688021,-1268.621182145259,-21228.51492,6775.282017,8689.752797
179.094466,21477.323336320238,1,-126.8003372066558,8892.615943110393,-1253.1461366333165,-21514.37073,6718.555305,8683.603966
180.094466,21477.323336320238,1,-162.5005918881614,8894.202769645652,-1237.6681812988045,-21798.03557,6661.144325,8676.570557
181.094466,21477.323336320238,1,-198.20687473322897,8895.619334917259,-1222.1876124354203,-22079.54404,6603.07433,8668.67857
182.094466,21477.323336320238,1,-233.9185022183277,8896.865611807978,-1206.704726386895,-22358.92984,6544.369476,8659.952967
183.094466,21477.323336320238,1,-269.6347907176235,8897.941576460395,-1191.219819541313,-22636.22582,6485.052888,8650.417722
